"GAME_DATE","GAME_CODE","TEAM","PLAYER","GAME_PLAYED","MINUTES_PLAYED","FIELD_GOALS_MADE","FIELD_GOALS_ATT","FREE_THROWS_MADE","FREE_THROWS_ATT","TOTAL_POINTS","OFFENSIVE_REBOUNDS","DEFENSIVE_REBOUNDS","REBOUNDS","ASSISTS","PERSONAL_FOULS","DISQUALIFICATIONS","STEALS","TURNOVERS","BLOCKED_SHOTS","THREE_POINT_MADE","THREE_POINT_ATT","PLUS_MINUS"
27-OCT-15,1570441,"Chicago Bulls","Jimmy Butler",1,37,6,14,5,5,17,1,4,5,2,1,0,2,0,1,0,2,3
27-OCT-15,1570441,"Chicago Bulls","Pau Gasol",1,32,1,7,0,0,2,0,2,2,0,1,0,1,0,6,0,1,-8
27-OCT-15,1570441,"Chicago Bulls","Derrick Rose",1,32,8,22,2,4,18,0,1,1,5,0,0,1,2,0,0,2,-1
27-OCT-15,1570441,"Chicago Bulls","Tony Snell",1,29,4,9,1,2,11,0,2,2,0,4,0,0,1,0,2,5,-1
27-OCT-15,1570441,"Chicago Bulls","Nikola Mirotic",1,25,6,11,4,4,19,2,7,9,1,5,0,1,4,0,3,4,9
27-OCT-15,1570441,"Chicago Bulls","Taj Gibson",1,22,1,3,3,4,5,2,8,10,0,6,1,0,3,3,0,0,2
27-OCT-15,1570441,"Chicago Bulls","Joakim Noah",1,17,0,0,0,2,0,2,7,9,4,1,0,1,1,0,0,0,1
27-OCT-15,1570441,"Chicago Bulls","Aaron Brooks",1,16,3,9,0,0,6,0,2,2,0,1,0,0,2,0,0,1,3
27-OCT-15,1570441,"Chicago Bulls","Doug McDermott",1,16,3,4,1,2,8,0,4,4,0,0,0,0,0,0,1,2,-2
27-OCT-15,1570441,"Chicago Bulls","E'Twaun Moore",1,14,5,8,0,0,11,0,3,3,1,3,0,0,0,0,1,2,4
27-OCT-15,1570441,"Chicago Bulls","Cristiano Felicio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Chicago Bulls","Cameron Bairstow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Chicago Bulls","Bobby Portis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Chicago Bulls","Kirk Hinrich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Chicago Bulls","Mike Dunleavy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Cleveland Cavaliers","Mo Williams",1,37,7,15,2,3,19,0,4,4,7,2,0,1,1,1,3,7,5
27-OCT-15,1570441,"Cleveland Cavaliers","LeBron James",1,36,12,22,0,3,25,0,10,10,5,3,0,1,1,0,1,5,1
27-OCT-15,1570441,"Cleveland Cavaliers","Kevin Love",1,35,6,17,3,3,18,4,4,8,4,0,0,0,2,2,3,7,1
27-OCT-15,1570441,"Cleveland Cavaliers","J.R. Smith",1,30,3,10,2,4,8,1,4,5,3,4,0,1,0,0,0,2,0
27-OCT-15,1570441,"Cleveland Cavaliers","Tristan Thompson",1,25,1,4,0,0,2,2,10,12,0,4,0,1,1,0,0,0,-6
27-OCT-15,1570441,"Cleveland Cavaliers","Timofey Mozgov",1,21,2,6,1,2,5,2,3,5,2,2,0,0,3,2,0,0,-1
27-OCT-15,1570441,"Cleveland Cavaliers","Matthew Dellavedova",1,20,3,8,0,0,6,1,3,4,4,1,0,0,1,0,0,2,1
27-OCT-15,1570441,"Cleveland Cavaliers","Richard Jefferson",1,17,4,7,0,0,10,0,0,0,1,3,0,1,1,0,2,4,-5
27-OCT-15,1570441,"Cleveland Cavaliers","Anderson Varejao",1,12,0,1,2,2,2,1,1,2,0,1,0,0,0,1,0,0,9
27-OCT-15,1570441,"Cleveland Cavaliers","James Jones",1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,-7
27-OCT-15,1570441,"Cleveland Cavaliers","Jared Cunningham",1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
27-OCT-15,1570441,"Cleveland Cavaliers","Iman Shumpert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Cleveland Cavaliers","Sasha Kaun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Cleveland Cavaliers","Joe Harris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570441,"Cleveland Cavaliers","Kyrie Irving",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Ish Smith",1,38,7,13,2,4,17,1,1,2,9,5,0,3,2,0,1,2,5
27-OCT-15,1570507,"New Orleans Pelicans","Anthony Davis",1,35,4,20,10,15,18,1,5,6,2,4,0,0,5,3,0,2,-16
27-OCT-15,1570507,"New Orleans Pelicans","Eric Gordon",1,33,5,17,2,2,14,0,4,4,4,1,0,1,4,0,2,7,-9
27-OCT-15,1570507,"New Orleans Pelicans","Ryan Anderson",1,29,2,7,4,5,9,2,4,6,1,2,0,1,3,0,1,3,-8
27-OCT-15,1570507,"New Orleans Pelicans","Alonzo Gee",1,27,4,5,0,0,8,0,5,5,1,3,0,3,3,0,0,0,-8
27-OCT-15,1570507,"New Orleans Pelicans","Dante Cunningham",1,27,5,8,1,1,13,1,1,2,0,2,0,0,0,0,2,3,-15
27-OCT-15,1570507,"New Orleans Pelicans","Nate Robinson",1,19,0,1,0,0,0,0,0,0,3,5,0,1,0,0,0,1,-21
27-OCT-15,1570507,"New Orleans Pelicans","Alexis Ajinca",1,17,3,7,0,0,6,3,1,4,0,3,0,0,1,0,0,0,4
27-OCT-15,1570507,"New Orleans Pelicans","Kendrick Perkins",1,16,5,5,0,0,10,0,4,4,1,1,0,0,0,0,0,0,-12
27-OCT-15,1570507,"New Orleans Pelicans","Tyreke Evans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Jrue Holiday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Quincy Pondexter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Norris Cole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Luke Babbitt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"New Orleans Pelicans","Omer Asik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-OCT-15,1570507,"Golden State Warriors","Stephen Curry",1,36,14,26,7,7,40,3,3,6,7,1,0,2,2,0,5,12,12
27-OCT-15,1570507,"Golden State Warriors","Harrison Barnes",1,33,3,12,1,2,8,5,4,9,3,3,0,1,1,0,1,5,17
27-OCT-15,1570507,"Golden State Warriors","Draymond Green",1,29,3,12,2,2,10,3,5,8,2,5,0,1,1,0,2,5,20
27-OCT-15,1570507,"Golden State Warriors","Klay Thompson",1,26,3,8,3,3,9,0,5,5,3,5,0,1,7,1,0,2,4
27-OCT-15,1570507,"Golden State Warriors","Andre Iguodala",1,23,1,3,0,0,2,1,4,5,3,2,0,1,1,0,0,1,1
27-OCT-15,1570507,"Golden State Warriors","Shaun Livingston",1,21,3,6,0,0,6,0,3,3,2,1,0,0,0,1,0,2,12
27-OCT-15,1570507,"Golden State Warriors","Leandro Barbosa",1,21,0,6,0,0,0,1,5,6,2,3,0,0,3,1,0,2,-3
27-OCT-15,1570507,"Golden State Warriors","Andrew Bogut",1,19,6,6,0,0,12,1,4,5,5,2,0,0,0,2,0,0,17
27-OCT-15,1570507,"Golden State Warriors","Festus Ezeli",1,17,6,10,1,2,13,3,1,4,1,2,0,1,1,1,0,0,-7
27-OCT-15,1570507,"Golden State Warriors","Marreese Speights",1,11,2,7,4,4,9,4,1,5,1,1,0,0,2,1,1,1,2
27-OCT-15,1570507,"Golden State Warriors","James Michael McAdoo",1,3,0,0,2,2,2,0,0,0,0,4,0,1,2,0,0,0,2
