Pablo Prigioni,190,83
Anthony Brown,201,95
P.J. Tucker,198,111
Bryce Dejean-Jones,198,94
Roy Hibbert,218,122
Quincy Acy,201,108
Nick Collison,208,115
Elfrid Payton,193,83
Darrun Hilliard,198,92
Austin Rivers,193,90
LeBron James,203,113
Luis Scola,206,108
Aron Baynes,208,117
Seth Curry,188,83
Joel Anthony,206,111
Markieff Morris,208,111
Ryan Anderson,208,108
Brandan Wright,208,95
Nemanja Bjelica,208,108
Al Jefferson,208,131
Anthony Morrow,196,95
Doug McDermott,203,102
Kirk Hinrich,193,86
Kent Bazemore,196,91
James Young,198,97
Thaddeus Young,203,100
Troy Daniels,193,92
Chris Paul,183,79
Jerian Grant,193,88
Cliff Alexander,203,111
Kevin Seraphin,206,129
Brandon Bass,203,113
James Michael McAdoo,206,104
Patty Mills,183,83
Omri Casspi,206,102
Bryce Cotton,185,74
Briante Weber,188,74
Kevin Durant,206,108
C.J. Miles,198,102
Anthony Davis,208,114
Kyle Singler,203,103
Sergey Karasev,201,94
Damian Lillard,190,88
Kobe Bryant,198,96
Brandon Knight,190,85
Blake Griffin,208,113
Aaron Harrison,198,95
Justin Holiday,198,83
Mo Williams,185,89
Ian Mahinmi,211,113
Meyers Leonard,216,111
Coty Clarke,201,105
Greg Monroe,211,120
Boban Marjanovic,221,131
Langston Galloway,188,90
Hollis Thompson,203,93
Trey Lyles,208,106
Kevin Love,208,113
Al-Farouq Aminu,206,99
Mario Hezonja,203,97
Bojan Bogdanovic,203,97
Jarell Eddie,201,98
Gerald Green,201,92
Ian Clark,190,79
Jeremy Evans,206,90
Andre Miller,190,90
John Jenkins,193,97
Dennis Schroder,185,78
Steven Adams,213,115
Lucas Nogueira,213,109
Monta Ellis,190,83
Alex Stepheson,208,122
Kentavious Caldwell-Pope,196,92
Patrick Patterson,206,104
Cristiano Felicio,208,124
Maurice Harkless,206,97
Tyler Ennis,190,87
Cameron Bairstow,206,113
James Jones,203,98
Chris Copeland,206,108
Markel Brown,190,86
Matt Bonner,208,106
David West,206,113
JaVale McGee,213,122
Tim Duncan,211,113
Bismack Biyombo,206,115
Joe Harris,198,99
