Word,Count,Social_Media
ab,12,Facebook
abd,4,Facebook
abhorrent,3,Facebook
ability,10,Facebook
abised,4,Facebook
able,20,Facebook
abnormal,3,Facebook
abortion,12,Facebook
aboung,4,Facebook
absolutely,26,Facebook
absurd,4,Facebook
abusing,4,Facebook
abusive,3,Facebook
aca,4,Facebook
academia,4,Facebook
accademiccommunist,3,Facebook
accept,11,Facebook
acceptable,7,Facebook
accepted,4,Facebook
accepting,4,Facebook
accessible,3,Facebook
according,12,Facebook
accountability,7,Facebook
accountable,4,Facebook
accurate,4,Facebook
accusations,4,Facebook
achieved,3,Facebook
achieving,4,Facebook
acknowledge,4,Facebook
acre,4,Facebook
act,58,Facebook
acted,10,Facebook
acting,3,Facebook
action,8,Facebook
actions,22,Facebook
active,8,Facebook
actively,4,Facebook
actors,4,Facebook
acts,11,Facebook
actual,4,Facebook
actually,71,Facebook
ad,8,Facebook
add,23,Facebook
added,3,Facebook
addicted,4,Facebook
addiction,4,Facebook
addictions,4,Facebook
addicts,4,Facebook
adding,4,Facebook
addison,8,Facebook
addition,4,Facebook
additional,4,Facebook
additionally,3,Facebook
address,27,Facebook
addressed,12,Facebook
addressing,8,Facebook
adequate,3,Facebook
admin,4,Facebook
administration,20,Facebook
administrations,8,Facebook
admire,12,Facebook
admit,4,Facebook
admitted,8,Facebook
adored,3,Facebook
adoring,4,Facebook
adult,19,Facebook
adulterer,3,Facebook
adulterous,4,Facebook
adultery,4,Facebook
adulthood,3,Facebook
adults,19,Facebook
advances,4,Facebook
advantage,3,Facebook
advantages,4,Facebook
advice,8,Facebook
advisories,7,Facebook
advocate,7,Facebook
advocating,4,Facebook
aerojet,4,Facebook
affair,4,Facebook
affairs,4,Facebook
affect,4,Facebook
affected,3,Facebook
affecting,4,Facebook
afford,24,Facebook
age,23,Facebook
agencies,3,Facebook
agenda,26,Facebook
agendas,4,Facebook
ages,4,Facebook
ago,11,Facebook
agree,57,Facebook
agreed,3,Facebook
agreement,8,Facebook
ahead,16,Facebook
aid,4,Facebook
aint,4,Facebook
air,12,Facebook
alabama,3,Facebook
alameda,3,Facebook
alec,8,Facebook
alex,3,Facebook
alfa,3,Facebook
aliens,11,Facebook
align,4,Facebook
allegations,4,Facebook
allow,12,Facebook
allowed,19,Facebook
allows,8,Facebook
almost,11,Facebook
alone,11,Facebook
along,19,Facebook
alpha,3,Facebook
already,63,Facebook
alright,4,Facebook
alsheimers,4,Facebook
also,69,Facebook
altar,4,Facebook
alternative,3,Facebook
although,7,Facebook
altright,3,Facebook
always,29,Facebook
amazing,12,Facebook
amazon,4,Facebook
ambassador,4,Facebook
amen,8,Facebook
america,47,Facebook
american,30,Facebook
americans,38,Facebook
americansdemocrats,4,Facebook
among,8,Facebook
anal,12,Facebook
analogy,8,Facebook
ancient,8,Facebook
andrew,3,Facebook
angela,4,Facebook
angeles,4,Facebook
anger,4,Facebook
angry,4,Facebook
animal,8,Facebook
animals,4,Facebook
anna,4,Facebook
annihilation,4,Facebook
annually,4,Facebook
anomalies,4,Facebook
another,60,Facebook
answer,7,Facebook
answers,4,Facebook
anthony,3,Facebook
anti,56,Facebook
antifa,4,Facebook
antirole,8,Facebook
anus,3,Facebook
anybody,4,Facebook
anyone,61,Facebook
anyones,4,Facebook
anything,66,Facebook
anytime,4,Facebook
anyway,4,Facebook
anywhere,3,Facebook
apart,4,Facebook
apologerchief,4,Facebook
apologize,12,Facebook
apologized,15,Facebook
apology,12,Facebook
appalled,3,Facebook
appalling,3,Facebook
apparent,3,Facebook
apparently,11,Facebook
appear,11,Facebook
appears,4,Facebook
apply,6,Facebook
appreciate,3,Facebook
approaches,4,Facebook
appropriate,6,Facebook
approval,8,Facebook
approved,8,Facebook
area,12,Facebook
areas,4,Facebook
argue,12,Facebook
arguing,4,Facebook
argument,15,Facebook
arizona,8,Facebook
arkansas,4,Facebook
arms,4,Facebook
army,4,Facebook
around,47,Facebook
arrested,3,Facebook
arrive,4,Facebook
art,3,Facebook
article,102,Facebook
articles,3,Facebook
artist,4,Facebook
ashamed,7,Facebook
ask,11,Facebook
asked,31,Facebook
asking,19,Facebook
aspects,13,Facebook
assault,20,Facebook
assaulted,4,Facebook
asserting,3,Facebook
assets,3,Facebook
assistance,16,Facebook
associate,3,Facebook
assume,4,Facebook
assuming,6,Facebook
assured,4,Facebook
astounded,4,Facebook
athletes,4,Facebook
atrocious,3,Facebook
attack,3,Facebook
attacked,4,Facebook
attacking,7,Facebook
attacks,12,Facebook
attempt,11,Facebook
attempting,4,Facebook
attend,4,Facebook
attendees,3,Facebook
attention,8,Facebook
attitude,4,Facebook
attorney,11,Facebook
audience,4,Facebook
authoritarian,3,Facebook
authority,3,Facebook
auto,4,Facebook
available,4,Facebook
average,16,Facebook
averaged,4,Facebook
awaits,4,Facebook
aware,25,Facebook
awareness,4,Facebook
away,34,Facebook
awesome,4,Facebook
awesomr,4,Facebook
awful,3,Facebook
b,3,Facebook
back,107,Facebook
backbone,4,Facebook
backdoored,4,Facebook
backed,4,Facebook
backing,4,Facebook
backlash,4,Facebook
backs,4,Facebook
backward,4,Facebook
backwards,3,Facebook
bad,61,Facebook
badly,4,Facebook
baffles,7,Facebook
bahaha,4,Facebook
balanced,3,Facebook
balloons,8,Facebook
bama,3,Facebook
banana,3,Facebook
bands,8,Facebook
banging,4,Facebook
bankruptcies,3,Facebook
bankruptcy,4,Facebook
banks,4,Facebook
banning,3,Facebook
bannon,4,Facebook
banshy,40,Facebook
bar,4,Facebook
barack,3,Facebook
barber,4,Facebook
barely,11,Facebook
barry,4,Facebook
base,3,Facebook
baseball,4,Facebook
based,22,Facebook
bash,8,Facebook
bashing,4,Facebook
basically,11,Facebook
basis,3,Facebook
basket,4,Facebook
battles,4,Facebook
batty,4,Facebook
bay,4,Facebook
bc,3,Facebook
beautiful,4,Facebook
became,7,Facebook
becca,20,Facebook
becky,4,Facebook
become,27,Facebook
becomes,7,Facebook
becoming,17,Facebook
becuase,4,Facebook
bedroom,4,Facebook
befor,4,Facebook
beges,20,Facebook
beginning,7,Facebook
begins,4,Facebook
begone,4,Facebook
behavior,50,Facebook
behaviors,3,Facebook
behind,8,Facebook
beholden,4,Facebook
beings,4,Facebook
belief,8,Facebook
beliefs,8,Facebook
believe,55,Facebook
believed,4,Facebook
believes,4,Facebook
believing,19,Facebook
belong,8,Facebook
belongs,4,Facebook
belville,4,Facebook
bend,8,Facebook
bending,3,Facebook
bends,4,Facebook
benefit,11,Facebook
benefits,26,Facebook
berate,3,Facebook
berkeley,8,Facebook
bernardino,4,Facebook
bernie,4,Facebook
bernies,4,Facebook
beside,4,Facebook
best,37,Facebook
bet,12,Facebook
betcha,4,Facebook
betray,4,Facebook
better,45,Facebook
betterunlike,4,Facebook
beverly,4,Facebook
beyond,8,Facebook
biased,3,Facebook
bible,7,Facebook
big,47,Facebook
bigger,4,Facebook
biggest,3,Facebook
bigly,4,Facebook
bigot,12,Facebook
bigoted,7,Facebook
bigotry,3,Facebook
bike,4,Facebook
bill,38,Facebook
billion,13,Facebook
billionaires,4,Facebook
billionin,12,Facebook
billions,4,Facebook
bills,12,Facebook
billy,4,Facebook
bimbo,3,Facebook
bingo,3,Facebook
biological,3,Facebook
biologically,4,Facebook
biology,4,Facebook
birth,16,Facebook
bishel,8,Facebook
bit,20,Facebook
bitter,4,Facebook
black,16,Facebook
blacks,4,Facebook
blackwell,4,Facebook
blah,12,Facebook
blame,12,Facebook
blamed,12,Facebook
blaming,3,Facebook
blasted,4,Facebook
bless,8,Facebook
blind,4,Facebook
blindly,15,Facebook
bloated,4,Facebook
block,12,Facebook
blond,3,Facebook
blood,4,Facebook
bloodied,4,Facebook
blow,4,Facebook
blowjob,4,Facebook
bluster,4,Facebook
board,3,Facebook
boarded,8,Facebook
boasting,3,Facebook
bob,27,Facebook
bobtanabes,4,Facebook
bodies,4,Facebook
bodnar,16,Facebook
body,8,Facebook
bold,4,Facebook
boldface,4,Facebook
bolo,4,Facebook
boot,4,Facebook
bootstraps,4,Facebook
born,27,Facebook
bot,4,Facebook
bots,3,Facebook
bottom,8,Facebook
bottomless,3,Facebook
bought,3,Facebook
bounce,4,Facebook
bowed,4,Facebook
box,11,Facebook
boy,65,Facebook
boyhowever,3,Facebook
boys,81,Facebook
boysone,4,Facebook
bracket,4,Facebook
bragged,4,Facebook
bragging,3,Facebook
brain,18,Facebook
brains,8,Facebook
brainwashed,4,Facebook
brand,4,Facebook
brash,3,Facebook
brat,3,Facebook
bravado,6,Facebook
brave,8,Facebook
bravery,4,Facebook
bray,4,Facebook
brays,4,Facebook
break,20,Facebook
breath,20,Facebook
breathe,4,Facebook
breeder,4,Facebook
breitbart,8,Facebook
brendan,3,Facebook
brent,4,Facebook
brewing,3,Facebook
bridges,4,Facebook
bridget,16,Facebook
bright,3,Facebook
brighter,4,Facebook
bring,10,Facebook
bringing,3,Facebook
brings,3,Facebook
brink,8,Facebook
bro,3,Facebook
broadcast,8,Facebook
broaddick,4,Facebook
broader,3,Facebook
broke,4,Facebook
brought,7,Facebook
brown,63,Facebook
browns,4,Facebook
browser,4,Facebook
bruce,3,Facebook
bs,15,Facebook
bsa,15,Facebook
btw,12,Facebook
bubble,8,Facebook
buckles,4,Facebook
bud,7,Facebook
buddy,4,Facebook
budget,20,Facebook
build,3,Facebook
bulemic,3,Facebook
bull,8,Facebook
bullet,3,Facebook
bullies,8,Facebook
bully,43,Facebook
bullying,7,Facebook
bumstead,8,Facebook
bunch,4,Facebook
buns,4,Facebook
bunting,4,Facebook
burden,15,Facebook
burdens,8,Facebook
buried,4,Facebook
buring,4,Facebook
burned,4,Facebook
bus,15,Facebook
bushs,4,Facebook
business,30,Facebook
businesses,64,Facebook
busted,4,Facebook
busy,7,Facebook
butch,4,Facebook
butchery,3,Facebook
butt,4,Facebook
butthole,7,Facebook
butthurt,4,Facebook
bwahahaha,4,Facebook
bye,4,Facebook
byers,4,Facebook
byron,3,Facebook
ca,22,Facebook
caddy,3,Facebook
cal,4,Facebook
calexit,4,Facebook
cali,15,Facebook
california,256,Facebook
californian,12,Facebook
californians,40,Facebook
californias,16,Facebook
call,58,Facebook
called,33,Facebook
calling,74,Facebook
came,19,Facebook
camp,12,Facebook
campaign,31,Facebook
camper,3,Facebook
camps,4,Facebook
can,265,Facebook
canals,4,Facebook
candid,4,Facebook
candidate,8,Facebook
candlelots,4,Facebook
candy,4,Facebook
cann,3,Facebook
cant,7,Facebook
cap,44,Facebook
capable,4,Facebook
capt,4,Facebook
car,20,Facebook
care,99,Facebook
cared,4,Facebook
careful,4,Facebook
cares,18,Facebook
caricature,3,Facebook
caring,11,Facebook
carnival,4,Facebook
carol,4,Facebook
carrots,4,Facebook
carry,7,Facebook
cars,16,Facebook
cartoons,3,Facebook
cas,3,Facebook
case,20,Facebook
cases,8,Facebook
cash,16,Facebook
cashiers,4,Facebook
cast,4,Facebook
casting,4,Facebook
castrate,12,Facebook
casually,3,Facebook
catch,4,Facebook
cater,4,Facebook
caught,12,Facebook
cause,11,Facebook
caused,22,Facebook
causejust,4,Facebook
causes,11,Facebook
celebrate,3,Facebook
celebratory,3,Facebook
celebrity,8,Facebook
cell,4,Facebook
censor,4,Facebook
center,3,Facebook
cents,19,Facebook
centuries,7,Facebook
century,4,Facebook
ceo,3,Facebook
cereal,4,Facebook
certainly,23,Facebook
challenges,4,Facebook
champion,4,Facebook
chance,11,Facebook
chandler,128,Facebook
change,33,Facebook
changed,11,Facebook
changes,4,Facebook
changing,7,Facebook
character,16,Facebook
characters,3,Facebook
charge,3,Facebook
charity,8,Facebook
charlene,7,Facebook
chauvinist,4,Facebook
cheat,8,Facebook
cheated,25,Facebook
cheater,8,Facebook
cheating,3,Facebook
cheats,4,Facebook
check,12,Facebook
checks,4,Facebook
cheeto,4,Facebook
chelsea,8,Facebook
chest,6,Facebook
chestthumping,4,Facebook
chicken,4,Facebook
chief,7,Facebook
child,25,Facebook
childers,12,Facebook
childish,8,Facebook
children,79,Facebook
choice,11,Facebook
choices,4,Facebook
choking,4,Facebook
chose,14,Facebook
chris,8,Facebook
christian,4,Facebook
christians,4,Facebook
christopher,12,Facebook
chromosomes,3,Facebook
chump,6,Facebook
church,4,Facebook
cinderella,4,Facebook
cis,4,Facebook
cities,12,Facebook
citizens,26,Facebook
city,11,Facebook
civil,19,Facebook
civility,4,Facebook
civilization,3,Facebook
civilizing,4,Facebook
civilwar,3,Facebook
clad,4,Facebook
claim,24,Facebook
claimed,12,Facebook
claiming,4,Facebook
claims,12,Facebook
clancy,8,Facebook
clarifying,4,Facebook
clarity,3,Facebook
class,28,Facebook
classified,8,Facebook
classy,4,Facebook
clay,3,Facebook
clean,12,Facebook
cleaning,3,Facebook
clear,6,Facebook
clearly,18,Facebook
click,4,Facebook
clingy,4,Facebook
clintion,4,Facebook
clinton,60,Facebook
clintonlewinsky,4,Facebook
clintons,32,Facebook
close,8,Facebook
closer,4,Facebook
closest,4,Facebook
closet,4,Facebook
clothed,4,Facebook
clothing,4,Facebook
cloths,4,Facebook
clowns,3,Facebook
clue,4,Facebook
clutch,3,Facebook
cnn,4,Facebook
co,3,Facebook
coaching,4,Facebook
cock,4,Facebook
coherent,8,Facebook
cohorts,3,Facebook
coincidence,4,Facebook
collapse,4,Facebook
collect,4,Facebook
collectivist,3,Facebook
college,18,Facebook
collusion,8,Facebook
color,12,Facebook
colorado,4,Facebook
colors,4,Facebook
comander,4,Facebook
combined,4,Facebook
combo,4,Facebook
come,51,Facebook
comes,8,Facebook
comey,36,Facebook
coming,36,Facebook
commander,4,Facebook
comment,43,Facebook
commentary,4,Facebook
commented,16,Facebook
commenting,15,Facebook
comments,50,Facebook
commie,8,Facebook
commit,8,Facebook
commiting,4,Facebook
committed,7,Facebook
committing,3,Facebook
common,18,Facebook
commonality,3,Facebook
communist,12,Facebook
community,7,Facebook
commute,4,Facebook
companies,20,Facebook
compare,4,Facebook
compared,4,Facebook
comparison,7,Facebook
compassion,15,Facebook
compassionate,3,Facebook
competition,7,Facebook
competitors,3,Facebook
complain,8,Facebook
complaining,7,Facebook
complete,11,Facebook
completely,24,Facebook
complicity,8,Facebook
compliment,8,Facebook
computer,4,Facebook
comrade,12,Facebook
concept,15,Facebook
concepts,3,Facebook
concern,23,Facebook
concerned,20,Facebook
concerningtruly,3,Facebook
concerns,4,Facebook
condemnation,7,Facebook
condition,4,Facebook
condolences,4,Facebook
condoms,4,Facebook
condone,4,Facebook
confidence,4,Facebook
confident,4,Facebook
confirm,4,Facebook
confiscated,4,Facebook
confused,18,Facebook
congress,19,Facebook
congressman,4,Facebook
congressmen,7,Facebook
conman,11,Facebook
conn,4,Facebook
connect,4,Facebook
conned,4,Facebook
conscientious,3,Facebook
conscious,3,Facebook
consciousness,3,Facebook
consent,20,Facebook
consenting,8,Facebook
consequence,3,Facebook
consequences,4,Facebook
conservative,34,Facebook
conservatives,12,Facebook
consider,11,Facebook
considered,15,Facebook
consistent,3,Facebook
conspiracies,4,Facebook
constant,16,Facebook
constantly,16,Facebook
constitution,4,Facebook
constitutional,4,Facebook
construction,3,Facebook
consult,4,Facebook
contact,4,Facebook
contain,4,Facebook
containing,3,Facebook
contempt,8,Facebook
content,3,Facebook
context,4,Facebook
continue,22,Facebook
continues,11,Facebook
continuing,7,Facebook
contrary,8,Facebook
contrived,4,Facebook
control,31,Facebook
convention,4,Facebook
conversation,24,Facebook
conversations,8,Facebook
convince,8,Facebook
cooked,4,Facebook
cooperation,3,Facebook
cops,4,Facebook
core,4,Facebook
cormier,8,Facebook
corporate,12,Facebook
corps,16,Facebook
correct,16,Facebook
correlation,3,Facebook
corrupt,39,Facebook
corrupting,4,Facebook
cost,16,Facebook
costly,4,Facebook
costs,20,Facebook
coulombe,8,Facebook
count,4,Facebook
counties,4,Facebook
countless,7,Facebook
countries,4,Facebook
country,65,Facebook
countrymen,4,Facebook
county,8,Facebook
courage,4,Facebook
courageous,4,Facebook
course,16,Facebook
court,8,Facebook
cover,12,Facebook
covered,8,Facebook
coveredwithout,4,Facebook
coverups,4,Facebook
coward,3,Facebook
cowboy,4,Facebook
cox,4,Facebook
cracking,4,Facebook
craig,4,Facebook
crap,9,Facebook
craphole,4,Facebook
crapped,4,Facebook
crass,7,Facebook
crazy,23,Facebook
create,3,Facebook
created,7,Facebook
