text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text,language,text_compound,candidate,Compound Norm
marlen yesterday beautiful berkeley mayor jessearreguin next governor ca antonioca ,False,0,,2017-07-27T14:42:49Z,True,,890583257447882752,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rossgomez,0,False,False,,,"Marlen and i, yesterday in beautiful #Berkeley with Mayor @JesseArreguin and our next Governor of #CA @antonio4ca.‚?¶ https://t.co/pphY5nnIDa",en,0.5994,Antonio,0.9002272640976021
rt astrojose great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa antonioca ht,False,0,,2017-07-27T03:52:25Z,False,,890419578668539905,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlmaPChavez,2,True,False,,,RT @Astro_Jose: Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa @antonio4ca ht‚?¶,en,0.6249,Antonio,0.952118440396362
rt astrojose great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa antonioca ht,False,0,,2017-07-27T03:44:34Z,False,,890417602962567168,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Skyseaa,2,True,False,,,RT @Astro_Jose: Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa @antonio4ca ht‚?¶,en,0.6249,Antonio,0.952118440396362
great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa ,False,33,,2017-07-27T03:40:57Z,True,,890416693150961664,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Astro_Jose,2,False,False,,,Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa‚?¶ https://t.co/vmljKs2G6r,it,0.6249,Antonio,0.952118440396362
 going deny daca students path education antonioca daca immigration california,False,1,,2017-07-27T02:05:12Z,False,,890392595301490688,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_lavere3,0,False,False,,,"""We're not going to deny DACA students their path to education."" -@antonio4ca #daca #immigration #california",en,-0.34,Antonio,-1.0114029717869082
california going stand firm going deny daca kids education cops trained ,False,0,,2017-07-27T02:03:48Z,True,,890392246163456000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChroniclesOfAzu,0,False,False,,,"""California is going to stand firm we're not going to deny #DACA kids an education, our cops are not trained to be‚?¶ https://t.co/Ucwt1Qdh8S",en,-0.34,Antonio,-1.0114029717869082
 going stand firm healthcare going ca way antonioca oakland healthcare,False,0,,2017-07-27T02:03:08Z,False,,890392078848360448,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_lavere3,0,False,False,,,"""We're going to stand firm [on healthcare] and we're going to do it the CA way""- @antonio4ca #oakland #healthcare",en,0.0,Antonio,-0.3195206211367767
antonioca will support csu stockton need put colleges everywhere epifanialyl founderslife writerslife latinaboss,False,0,antonio4ca,2017-07-27T01:49:37Z,False,,890388674059292673,607856488.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nicolemdeinzer,0,False,False,,,@antonio4ca I will support a CSU in #Stockton! We need to put colleges everywhere. #epifanialyl #founderslife #writerslife #latinaboss,en,0.4019,Antonio,0.4983250162934815
antonioca wants put housing transportation fund together thank epifanialyl founderslife writerslife latinaboss,False,0,antonio4ca,2017-07-27T01:46:52Z,False,,890387985262182400,607856488.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nicolemdeinzer,0,False,False,,,@antonio4ca wants to put a #housing and #Transportation fund together. Thank you! #epifanialyl #founderslife #writerslife #latinaboss,en,0.4215,Antonio,0.5382099988603715
antonioca speaking voters oakland forget vote know options governor  ,False,1,antonio4ca,2017-07-27T01:46:10Z,True,,890387805775339521,607856488.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",christianarana,0,False,False,,,@antonio4ca speaking to voters in #Oakland. Don't forget to vote and know your options for governor! #2018‚?¶ https://t.co/lCm4LBd8EF,en,-0.2263,Antonio,-0.7800293739371436
