status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10128918116_10155718495103117,"Shameless plug: Jen wrote this piece for @TIME on guiding young people through Trump's era of toxic masculinity.  

As always, I couldn't be more proud to be this woman's husband.",We Must Stop Donald Trump's Toxic Masculinity From Infecting Boys,link,http://time.com/4877364/trump-boy-scouts-jamboree-toxic-masculinity/,2017-07-28 11:35:08,12367,733,2131,10763,1273,45,142,49,95
10128918116_10155712137368117,"I want to be absolutely clear: Today's reckless decision by President Trump is the height of cruelty and ignorance.  He has weakened our country, and we are all less safe for his cowardice.

Military leaders, decorated veterans, and members of Congress from both parties have rightly come together to condemn what is - by the administration's own admission - a cheap, cynical ploy to rally the darkest corners of Trump's base against yet another invented domestic enemy.
 
There is NO basis to Trump's claim that the service of Patriotic transgender people impacts our military readiness.  On the contrary, the President today has weakened our military and by doing so, diminished both our security and our standing in the world community.

Of course, we know that America's security (and America's global leadership) is not what this President cares about, nor has it ever been.  And so it is left to us, the PEOPLE of this country to care even more... to fill the void that he leaves every single day.

So please, today, tomorrow, and every day going forward - stand with your brothers and sisters of every race, religion, and gender that is a target of this administration's cruelty.   Support those organizations that are on the front lines against Trump's hate agenda.  Reach out to those in your community who everyday wake up fearing the worst.... and make sure they know that there is no tweet, no executive order, no act of  sanctioned aggression that will make you turn your back.

Our collective commitment to justice and equality is stronger than their fear and even their hate.  But we must NEVER waiver in our values.  We must NEVER hedge in our humanity.  And we must ALWAYS be unflinching in our commitment to those whose lives are at stake.",Trump announces ban on transgender people in U.S. military,link,https://www.washingtonpost.com/news/post-politics/wp/2017/07/26/trump-announces-ban-on-transgender-people-in-u-s-military/?utm_term=.eaa2b04340e6,2017-07-26 14:00:51,10800,1131,1915,7408,745,64,90,346,2146
10128918116_10155692672328117,We should be protecting the families of our men and women deployed overseas... not targeting them.,Trump’s immigration crackdown is stressing out deployed US troops,link,http://www.sacbee.com/news/article162953498.html,2017-07-21 18:58:49,1126,232,141,592,11,28,19,208,268
10128918116_10155685145068117,"Why is bail reform so important?  The 14th Amendment guarantees equal protection under the law, and the 8th Amendment prohibits excessive bail.

But today in America, most people are in jail not because they’ve been convicted of a crime, but because they can’t afford to pay pretrial bail. 

Think about this for a second, and ask yourself if this is what justice looks like:",Photos from Gavin Newsom's post,photo,https://www.facebook.com/GavinNewsom/photos/a.75229533116.73338.10128918116/10155685138918117/?type=3,2017-07-19 16:41:29,1135,288,202,735,23,46,10,117,204
10128918116_10155684867258117,"""Strengthening the federal government’s power to seize cash and property from Americans without first bringing criminal charges against them.""

I'm curious how my conservative friends feel about this latest directive from former ""small government"" Senator Jeff Sessions.  (The Obama administration had - in contrast - worked to reduce this practice.)",The Bipartisan Opposition to Sessions's New Civil-Forfeiture Rules,link,https://www.theatlantic.com/politics/archive/2017/07/sessions-forfeiture-justice-department-civil/534168/,2017-07-19 15:11:02,2578,531,595,1072,9,183,25,43,1246
10128918116_10155681353193117,"I was proud to play a small role in this month's launch of the groundbreaking Firearm Violence Research Center.  

30,000 people die from gun violence in the United States - by homicides, suicides, and accidental shootings.  Based out of UC Davis, this innovative, data-driven center will use science to inform meaningful policy prescriptions... first in California, and then across the country.

Where the federal government has failed, California will continue to lead.  Too many lives depend on it.","On gun violence research, California again fills a void left by the federal government",link,http://www.latimes.com/business/hiltzik/la-fi-hiltzik-wintemute-20170714-story.html,2017-07-18 15:36:31,3924,587,466,3353,374,19,29,12,137
10128918116_10155676964518117,"It's time to take-on our dire housing shortage, so every Californian can afford to live and work here.  There's important work going on in the legislature to ease the crisis. 

Thanks to those who have taken up the mantle of ensuring we build the affordable housing our state so desperately needs.",The Cost of a Hot Economy in California: A Severe Housing Crisis,link,https://www.nytimes.com/2017/07/17/us/california-housing-crisis.html?smprod=nytcore-iphone&smid=nytcore-iphone-share,2017-07-17 12:22:37,2365,552,301,1968,39,40,22,192,104
10128918116_10155660610373117,"If California's going to get serious about growing our middle class, we need to build an economy that gives everyone an upward path. That's why I am calling for 500,000 earn-and-learn apprenticeships by 2029, creating a new vocational education pipeline of high-skilled workers.",Apprenticeships,video,https://www.facebook.com/GavinNewsom/videos/10155660610373117/,2017-07-13 16:35:07,6829,667,813,5935,745,22,108,2,17
10128918116_10155656644378117,"If you're looking to kill a cool 6 minutes, I went on Morning Joe this morning chatting about the issues facing California voters and the future of the Democratic Party.  We must be about more than just the Russia investigation.",Newsom explains why Russia does nothing for Dems,video,http://www.msnbc.com/morning-joe/watch/newsom-explains-why-russia-does-nothing-for-dems-993832515726,2017-07-12 15:06:33,4691,459,333,4224,362,21,60,3,21
10128918116_10155649052068117,California is having critical discussions about how to strengthen and extend its cap-and-trade program.  Agree with our firefighters -- climate-related disaster response should be part of the conversation.,Climate-Related Disaster Response in CA,video,https://www.facebook.com/GavinNewsom/videos/10155649052068117/,2017-07-10 13:19:42,1080,183,122,973,61,5,30,0,11
