text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
marlen yesterday beautiful berkeley mayor jessearreguin next governor ca antonioca ,FALSE,0,,2017-07-27T14:42:49Z,TRUE,,890583257447882752,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rossgomez,0,FALSE,FALSE,,,"Marlen and i, yesterday in beautiful #Berkeley with Mayor @JesseArreguin and our next Governor of #CA @antonio4ca.… https://t.co/pphY5nnIDa"
rt astrojose great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa antonioca ht,FALSE,0,,2017-07-27T03:52:25Z,FALSE,,890419578668539905,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlmaPChavez,2,TRUE,FALSE,,,RT @Astro_Jose: Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa @antonio4ca ht…
rt astrojose great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa antonioca ht,FALSE,0,,2017-07-27T03:44:34Z,FALSE,,890417602962567168,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Skyseaa,2,TRUE,FALSE,,,RT @Astro_Jose: Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa @antonio4ca ht…
excelente evento en oakland en tertulia cafe tertuliacoffee con nuestro futuro gobernador de california antonio vi ,FALSE,48,,2017-07-27T03:43:23Z,TRUE,,890417306328862721,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Astro_Jose,5,FALSE,FALSE,,,Excelente evento en Oakland en Tertulia Cafe @TertuliaCoffee con nuestro futuro Gobernador de California Antonio Vi… https://t.co/uoMaCrDy3Q
great event oakland tertulia cafe tertuliacoffee future california governor antonio villaraigosa ,FALSE,33,,2017-07-27T03:40:57Z,TRUE,,890416693150961664,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Astro_Jose,2,FALSE,FALSE,,,Great event in Oakland at Tertulia Cafe @TertuliaCoffee with future California governor Antonio Villaraigosa… https://t.co/vmljKs2G6r
 going deny daca students path education antonioca daca immigration california,FALSE,1,,2017-07-27T02:05:12Z,FALSE,,890392595301490688,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_lavere3,0,FALSE,FALSE,,,"""We're not going to deny DACA students their path to education."" -@antonio4ca #daca #immigration #california"
california going stand firm going deny daca kids education cops trained ,FALSE,0,,2017-07-27T02:03:48Z,TRUE,,890392246163456000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChroniclesOfAzu,0,FALSE,FALSE,,,"""California is going to stand firm we're not going to deny #DACA kids an education, our cops are not trained to be… https://t.co/Ucwt1Qdh8S"
 going stand firm healthcare going ca way antonioca oakland healthcare,FALSE,0,,2017-07-27T02:03:08Z,FALSE,,890392078848360448,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_lavere3,0,FALSE,FALSE,,,"""We're going to stand firm [on healthcare] and we're going to do it the CA way""- @antonio4ca #oakland #healthcare"
antonioca will support csu stockton need put colleges everywhere epifanialyl founderslife writerslife latinaboss,FALSE,0,antonio4ca,2017-07-27T01:49:37Z,FALSE,,890388674059292673,607856488,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nicolemdeinzer,0,FALSE,FALSE,,,@antonio4ca I will support a CSU in #Stockton! We need to put colleges everywhere. #epifanialyl #founderslife #writerslife #latinaboss
antonioca wants put housing transportation fund together thank epifanialyl founderslife writerslife latinaboss,FALSE,0,antonio4ca,2017-07-27T01:46:52Z,FALSE,,890387985262182400,607856488,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nicolemdeinzer,0,FALSE,FALSE,,,@antonio4ca wants to put a #housing and #Transportation fund together. Thank you! #epifanialyl #founderslife #writerslife #latinaboss
