text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
rt mscollegeopp report ensuring greater equity highered johnchiangca antonioca gavinnewsom,FALSE,0,,2017-07-28T05:45:23Z,FALSE,,890810396679917568,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ebensimon,1,TRUE,FALSE,,,RT @MSCollegeOpp: Our report on ensuring greater equity in #highered https://t.co/mfJrlnN3Pj @JohnChiangCA @antonio4ca @GavinNewsom
 report ensuring greater equity highered johnchiangca antonioca gavinnewsom,FALSE,3,,2017-07-28T03:49:10Z,FALSE,,890781150330761216,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MSCollegeOpp,1,FALSE,FALSE,,,Our report on ensuring greater equity in #highered https://t.co/mfJrlnN3Pj @JohnChiangCA @antonio4ca @GavinNewsom
  leading dem candidates gavinnewsom johnchiangca antonioca support inclusive highered admissions ,FALSE,0,,2017-07-28T03:47:46Z,FALSE,,890780795287216129,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MSCollegeOpp,0,FALSE,FALSE,,,All 3 leading dem candidates @GavinNewsom @JohnChiangCA @antonio4ca support more inclusive #highered admissions https://t.co/s8vrtq8z7U
rt johnchiangca people holding back getting care scared take different road california joinjohn thi,FALSE,0,,2017-07-28T03:07:07Z,FALSE,,890770566457696256,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chadhood10,7,TRUE,FALSE,,,RT @JohnChiangCA: People are holding back from getting care because they are scared. Take a different road for California. #JoinJohn on thi…
rt johnchiangca controller john identified  b waste fraud abuse taxpayer dollars tbt ,FALSE,0,,2017-07-28T01:29:52Z,FALSE,,890746092463177728,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",astrocassie,4,TRUE,FALSE,,,"RT @JohnChiangCA: As Controller John identified over $9.5 B of waste, fraud, and abuse of taxpayer dollars. #TBT https://t.co/VsIHhhW6cl"
rt plsimpeach maliavella johnchiangca agbecerra robbonta nancyskinnerca jhoddie jovankabeckles dankalb kaplanoakland abel,FALSE,0,,2017-07-28T00:43:48Z,FALSE,,890734498278645760,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JovankaBeckles,1,TRUE,FALSE,,,RT @plsimpeach: @Malia_Vella @JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @jhoddie777 @JovankaBeckles @DanKalb @Kaplan4Oakland @Abel_…
maliavella plsimpeach johnchiangca agbecerra robbonta nancyskinnerca jhoddie dankalb kaplanoakland ,FALSE,0,Malia_Vella,2017-07-28T00:42:21Z,TRUE,890700464727048193,890734136557674496,1296251323,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JovankaBeckles,0,FALSE,FALSE,,,@Malia_Vella @plsimpeach @JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @jhoddie777 @DanKalb @Kaplan4Oakland… https://t.co/4GTXKXAK7m
rt maliavella plsimpeach johnchiangca agbecerra robbonta nancyskinnerca jhoddie jovankabeckles dankalb kaplanoakland abel,FALSE,0,,2017-07-28T00:41:21Z,FALSE,,890733883012009984,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JovankaBeckles,1,TRUE,FALSE,,,RT @Malia_Vella: @plsimpeach @JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @jhoddie777 @JovankaBeckles @DanKalb @Kaplan4Oakland @Abel_…
rt johnchiangca controller john identified  b waste fraud abuse taxpayer dollars tbt ,FALSE,0,,2017-07-28T00:06:32Z,FALSE,,890725120578400256,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",blackscallop,4,TRUE,FALSE,,,"RT @JohnChiangCA: As Controller John identified over $9.5 B of waste, fraud, and abuse of taxpayer dollars. #TBT https://t.co/VsIHhhW6cl"
rt johnchiangca controller john identified  b waste fraud abuse taxpayer dollars tbt ,FALSE,0,,2017-07-27T23:27:22Z,FALSE,,890715264571944961,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MICHAELSBILBREY,4,TRUE,FALSE,,,"RT @JohnChiangCA: As Controller John identified over $9.5 B of waste, fraud, and abuse of taxpayer dollars. #TBT https://t.co/VsIHhhW6cl"
 good interview johnchiangca,FALSE,1,,2017-07-27T23:27:15Z,FALSE,,890715234096226304,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DotFranny,0,FALSE,FALSE,,,https://t.co/lv8QkFrDNF Good interview with @JohnChiangCA
maliavella johnchiangca agbecerra robbonta nancyskinnerca jhoddie jovankabeckles dankalb ,FALSE,3,Malia_Vella,2017-07-27T22:36:23Z,TRUE,890700464727048193,890702433826897921,1296251323,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",plsimpeach,1,FALSE,FALSE,,,@Malia_Vella @JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @jhoddie777 @JovankaBeckles @DanKalb… https://t.co/qRZ1r45a8J
plsimpeach johnchiangca agbecerra robbonta nancyskinnerca jhoddie jovankabeckles dankalb kaplanoakland ,FALSE,5,plsimpeach,2017-07-27T22:28:33Z,TRUE,890693607186878464,890700464727048193,826214500814630912,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Malia_Vella,1,FALSE,FALSE,,,@plsimpeach @JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @jhoddie777 @JovankaBeckles @DanKalb @Kaplan4Oakland… https://t.co/fmoRo0hrSq
bmcrinfo invest academic cannabis programs johnchiangca schoolsnotrprisons ,FALSE,0,BmcrInfo,2017-07-27T22:28:04Z,FALSE,890698463549079556,890700342073016322,822545432438075393,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheGHWcenter,0,FALSE,FALSE,,,@BmcrInfo Invest in Academic Cannabis Programs! @JohnChiangCA #schoolsnotrprisons https://t.co/dN1QWDEHw6
johnchiangca agbecerra robbonta nancyskinnerca maliavella jhoddie jovankabeckles dankalb ,FALSE,0,JohnChiangCA,2017-07-27T22:01:18Z,TRUE,,890693607186878464,179615493,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",plsimpeach,0,FALSE,FALSE,,,@JohnChiangCA @AGBecerra @RobBonta @NancySkinnerCA @Malia_Vella @jhoddie777 @JovankaBeckles @DanKalb… https://t.co/u90gMBvDsE
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T21:46:16Z,FALSE,,890689822565818368,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alicekantola,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
rt johnchiangca people holding back getting care scared take different road california joinjohn thi,FALSE,0,,2017-07-27T21:32:03Z,FALSE,,890686245642350593,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KatherineWolves,7,TRUE,FALSE,,,RT @JohnChiangCA: People are holding back from getting care because they are scared. Take a different road for California. #JoinJohn on thi…
rt johnchiangca moina shaiq founder meet muslim fremont brings together community breaks divisive barriers ,FALSE,0,,2017-07-27T20:27:47Z,FALSE,,890670069293891584,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",georgebioletto,3,TRUE,FALSE,,,"RT @JohnChiangCA: Moina Shaiq, founder of ""Meet a Muslim"", from #Fremont brings together the community and breaks down divisive barriers. #…"
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T19:31:06Z,FALSE,,890655805975928836,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jose_Mejia77,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T19:08:39Z,FALSE,,890650158253330432,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",astrocassie,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T18:57:36Z,FALSE,,890647375030632449,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LiberalNcali,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
rt johnchiangca talked packed room stonewalldemsla meeting tonight join us journey discuss issues matt,FALSE,0,,2017-07-27T18:49:11Z,FALSE,,890645255757864962,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",StonewallDemsLA,5,TRUE,FALSE,,,RT @JohnChiangCA: I talked to a packed room at the @StonewallDemsLA meeting tonight. Join us on our journey to discuss the issues that matt…
johnchiangca thank coming really enjoyed talk please also come annual summer barbecue o ,FALSE,1,JohnChiangCA,2017-07-27T18:49:00Z,TRUE,889680693952786432,890645213701472256,179615493,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",StonewallDemsLA,0,FALSE,FALSE,,,@JohnChiangCA Thank you for coming by! We really enjoyed the talk! Please also come to our annual summer barbecue o… https://t.co/Civx9enaSK
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T17:13:31Z,FALSE,,890621183950860288,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lsirikul,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
rt dotfranny state treasurer gubernatorial candidate johnchiangca westlademclub party wladc ,FALSE,0,,2017-07-27T17:09:30Z,FALSE,,890620169822715904,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RiversideWDCPAC,2,TRUE,FALSE,,,RT @DotFranny: State Treasurer and gubernatorial candidate @JohnChiangCA at the @westLADemClub party #WLADC https://t.co/w79U7jikWd
rt johnchiangca fed government continues turn back millions ca taking different road protecting healthcare,FALSE,0,,2017-07-27T17:05:53Z,FALSE,,890619260690505728,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",linda_nutile,8,TRUE,FALSE,,,RT @JohnChiangCA: The fed government continues to turn its back on millions. In CA we're taking a different road by protecting healthcare.…
kristieburchit eyeheartcomics johnchiangca government discriminating obvious issue hav ,FALSE,0,kristieburchit,2017-07-27T16:53:29Z,TRUE,890606248172834816,890616142858825728,2443295490,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HourlyStruggle,0,FALSE,FALSE,,,@kristieburchit @eyeheartcomics @JohnChiangCA The government not discriminating is an obvious issue that should hav… https://t.co/DfmQwVWTAU
kristieburchit hourlystruggle johnchiangca disability preventing child getting education b ,FALSE,0,kristieburchit,2017-07-27T16:49:03Z,TRUE,890611497595879424,890615026624507904,2443295490,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eyeheartcomics,0,FALSE,FALSE,,,@kristieburchit @HourlyStruggle @JohnChiangCA What disability was preventing your child from getting an education b… https://t.co/6bXWdriz5g
eyeheartcomics hourlystruggle johnchiangca ada prohibits discrimination ensures accessibility pub ,FALSE,0,eyeheartcomics,2017-07-27T16:35:02Z,TRUE,890609514986184704,890611497595879424,338782246,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kristieburchit,0,FALSE,FALSE,,,@eyeheartcomics @HourlyStruggle @JohnChiangCA The ADA prohibits discrimination and ensures accessibility in the pub… https://t.co/JvAbCfKtHt
kristieburchit hourlystruggle johnchiangca ,FALSE,0,kristieburchit,2017-07-27T16:27:09Z,FALSE,890606248172834816,890609514986184704,2443295490,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eyeheartcomics,0,FALSE,FALSE,,,@kristieburchit @HourlyStruggle @JohnChiangCA How so?
eyeheartcomics hourlystruggle johnchiangca ada positively impacted families like ,FALSE,0,eyeheartcomics,2017-07-27T16:14:10Z,TRUE,890416785236803585,890606248172834816,338782246,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kristieburchit,0,FALSE,FALSE,,,@eyeheartcomics @HourlyStruggle @JohnChiangCA Where the ADA has positively impacted families like my own has been i… https://t.co/aabyu2TJQk
