text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
rt gavinnewsom yeah many white men gop ,FALSE,0,,2017-07-27T15:37:21Z,FALSE,,890596979784470528,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ctrl_issue,251,TRUE,FALSE,,,"RT @GavinNewsom: ""Yeah but how many of those are white men?"" -@GOP https://t.co/Nn92Hu2ymB"
rt gavinnewsom wrote  characters trumps latest feat baseless hate mongering ,FALSE,0,,2017-07-27T15:34:26Z,FALSE,,890596249417764864,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",M2thaCo,71,TRUE,FALSE,,,"RT @GavinNewsom: I wrote more than 140 characters on Trump's latest feat of baseless hate mongering.
https://t.co/JWVDPVYzP7"
rt gavinnewsom todays decision potus height cruelty amp ignorance weakened country less safe fo,FALSE,0,,2017-07-27T15:27:45Z,FALSE,,890594564209332225,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",xiphoidzq,806,TRUE,FALSE,,,"RT @GavinNewsom: Today's decision by @POTUS is the height of cruelty &amp; ignorance.  He has weakened our country, and we are all less safe fo…"
rt gavinnewsom senator duckworth served sacrificed country realdonaldtrump busy ripping charities htt,FALSE,0,,2017-07-27T15:26:58Z,FALSE,,890594368016400386,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TeamJessieee,423,TRUE,FALSE,,,RT @GavinNewsom: Senator Duckworth served and sacrificed for our country while @realDonaldTrump was busy ripping off his own charities. htt…
rt gavinnewsom important thread targeted rememember incredible people amp orgs ready stand fight yo,FALSE,0,,2017-07-27T15:26:52Z,FALSE,,890594341793570816,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TeamJessieee,347,TRUE,FALSE,,,"RT @GavinNewsom: Important thread. To all those being targeted: rememember there are incredible people &amp; orgs ready to stand and fight.

Yo…"
rt gavinnewsom remember deal serve adoring lapdogs nice friends ,FALSE,0,,2017-07-27T15:26:33Z,FALSE,,890594264094199808,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TeamJessieee,58,TRUE,FALSE,,,"RT @GavinNewsom: ""Remember our deal: we serve as your adoring lapdogs, but only if you're nice to our friends."" https://t.co/VvEcvFgACb"
rt gavinnewsom important thread targeted rememember incredible people amp orgs ready stand fight yo,FALSE,0,,2017-07-27T15:25:39Z,FALSE,,890594035810816001,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OkazuYuri,347,TRUE,FALSE,,,"RT @GavinNewsom: Important thread. To all those being targeted: rememember there are incredible people &amp; orgs ready to stand and fight.

Yo…"
rt gavinnewsom important thread targeted rememember incredible people amp orgs ready stand fight yo,FALSE,0,,2017-07-27T15:23:58Z,FALSE,,890593613242974209,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CatGrant2009,347,TRUE,FALSE,,,"RT @GavinNewsom: Important thread. To all those being targeted: rememember there are incredible people &amp; orgs ready to stand and fight.

Yo…"
rt gavinnewsom remember deal serve adoring lapdogs nice friends ,FALSE,0,,2017-07-27T15:21:31Z,FALSE,,890592998232346625,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NYC1975SN,58,TRUE,FALSE,,,"RT @GavinNewsom: ""Remember our deal: we serve as your adoring lapdogs, but only if you're nice to our friends."" https://t.co/VvEcvFgACb"
rt gavinnewsom senator duckworth served sacrificed country realdonaldtrump busy ripping charities htt,FALSE,0,,2017-07-27T15:20:33Z,FALSE,,890592754530701312,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NIHAustin,423,TRUE,FALSE,,,RT @GavinNewsom: Senator Duckworth served and sacrificed for our country while @realDonaldTrump was busy ripping off his own charities. htt…
trumpstercalgal trumpintrump gavinnewsom dumpstercalgal fixed name ,FALSE,0,TrumpsterCalGal,2017-07-27T15:20:08Z,FALSE,890310464940331014,890592647919710209,808974799074512896,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",georgegambini,0,FALSE,FALSE,,,@TrumpsterCalGal @TrumpinTrump @GavinNewsom *dumpstercalgal* there I fixed your name for you
 big supporter gavinnewsom governor california eventually potus ,FALSE,0,,2017-07-27T15:18:48Z,FALSE,,890592313776328704,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AthanRebelos,0,FALSE,FALSE,,,"I'm a big supporter of @GavinNewsom for governor of California and eventually POTUS
https://t.co/LKDk3Ur4UD"
silverpatriot gavinnewsom racist,FALSE,0,SilverPatriot1,2017-07-27T15:18:36Z,FALSE,890379126107815936,890592262475743232,3544386553,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",georgegambini,0,FALSE,FALSE,,,@SilverPatriot1 @GavinNewsom You are a racist
rt gavinnewsom todays decision potus height cruelty amp ignorance weakened country less safe fo,FALSE,0,,2017-07-27T15:17:33Z,FALSE,,890591997945401345,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CoachKnee,806,TRUE,FALSE,,,"RT @GavinNewsom: Today's decision by @POTUS is the height of cruelty &amp; ignorance.  He has weakened our country, and we are all less safe fo…"
gavinnewsom gop broke ,FALSE,0,GavinNewsom,2017-07-27T15:11:07Z,FALSE,890369020255326209,890590378918780928,11347122,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",eland_98,0,FALSE,FALSE,,,@GavinNewsom @GOP Broke 20!
rt gavinnewsom american wants serve country able meet standards treated patriots ,FALSE,0,,2017-07-27T15:06:55Z,FALSE,,890589324399562756,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",boatdrk,146,TRUE,FALSE,,,"RT @GavinNewsom: ""Any American who wants to serve our country and is able to meet the standards should... be treated as the patriots they a…"
rt gavinnewsom todays decision potus height cruelty amp ignorance weakened country less safe fo,FALSE,0,,2017-07-27T15:05:32Z,FALSE,,890588973428592640,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SquirrlyRuth,806,TRUE,FALSE,,,"RT @GavinNewsom: Today's decision by @POTUS is the height of cruelty &amp; ignorance.  He has weakened our country, and we are all less safe fo…"
