status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22930503694_10155572248528695,Join us in signing a birthday card for Treasurer Chiang!,"Show John Your Appreciation >> - John Chiang for Governor, 2018",link,https://johnchiang.com/bdaypetition/,2017-07-27 22:05:00,182,15,12,167,14,0,1,0,0
22930503694_10155571753933695,"As Controller John identified over $9.5 B of waste, fraud, and abuse of taxpayer dollars. #TBT","Bell: Corruption on Steroids - John Chiang for Governor, 2018",link,https://johnchiang.com/in-the-news/city-of-bell-steroids/,2017-07-27 18:28:46,120,0,21,116,3,1,0,0,0
22930503694_10155571274978695,"Moina Shaiq, founder of ""Meet a Muslim"", from #Fremont brings together communities and breaks down divisive barriers. It's only through understanding and unity that we can fight Islamaphobia, xenophobia, and other forms of hate.",,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155571273973695/?type=3,2017-07-27 15:22:12,84,2,5,80,4,0,0,0,0
22930503694_10155568776168695,"Since President Trump & Congress took office, four community clinics in California shut down. People are holding back from getting care because they are scared. Join John and take a different road for California.",Greetings from Bakersfield!,video,https://www.facebook.com/johnchiangforgovernor2018/videos/10155568776168695/,2017-07-26 22:00:00,203,6,37,183,14,0,0,3,3
22930503694_10155568631648695,Did you know Balboa Park in San Diego is even bigger than Central Park in New York?,,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155568629423695/?type=3,2017-07-26 20:30:36,183,2,12,168,9,6,0,0,0
22930503694_10155568351843695,Discrimination has no place in our military or society. We must stand with trans people who have fought for our freedoms.,Trump Says Transgender People Will Not Be Allowed in the Military,link,https://www.nytimes.com/2017/07/26/us/politics/trump-transgender-military.html,2017-07-26 18:36:54,203,10,26,183,6,1,1,2,10
22930503694_10155567859743695,"I want to highlight Michelle Burton, President of Run Women Run, who fights tough cases in court by day and promotes women running for office by night. #WomenCrushWednesday",,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155567857178695/?type=3,2017-07-26 15:35:31,99,2,5,93,6,0,0,0,0
22930503694_10155567432588695,"27 years ago the United States finally prohibited discrimination of and ensured equal rights to Americans with disabilities. Today, the Americans with Disabilities Act provides critical civil rights protections to millions of Californians. We must continue on to deliver this promise of equal rights and equal opportunity to Californians with disabilities.","27 Years After the Americans With Disabilities Act, Has the Nation Kept Its Promise of Equality? - Rewire",link,https://rewire.news/article/2017/07/26/27-years-americans-disabilities-act-nation-kept-promise-equality/,2017-07-26 13:01:12,81,1,14,77,4,0,0,0,0
22930503694_10155565293998695,"From Redding to San Diego one-size-fits-all policies ignore the unique needs and struggles of our communities. Just as we must craft public policy that protects the environment so we may enjoy places like Lake Tahoe we must also support our communities across California with affordable housing, healthcare, and a quality education.#JoinJohn #TravelTuesday",,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155565293353695/?type=3,2017-07-25 22:02:32,98,2,6,98,0,0,0,0,0
22930503694_10155564049958695,"California needs a governor with the financial acumen and courage to call out Wall Street #TuesdayThoughts #JoinJohn
http://bit.ly/2tH1CX8",Gubernatorial Candidate Treasurer John Chiang Suspends California's Ties to Wells Fargo,link,http://bit.ly/2tH1CX8,2017-07-25 14:38:31,522,17,66,489,29,4,0,0,0
22930503694_10155563676438695,Happy National Hire a Veteran Day! We can take a road for California where we serve our veterans just as they served us. #HonorAVeteran #JoinJohn,John Chiang for Governor 2018,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155467905943695/?type=3,2017-07-25 13:03:51,78,1,0,75,2,1,0,0,0
22930503694_10155561623293695,I talked to a packed room at the Stonewall Democratic Club meeting tonight. Join us on our journey to discuss the issues that matter most to you.,Timeline Photos,photo,https://www.facebook.com/johnchiangforgovernor2018/photos/a.10150995773803695.443844.22930503694/10155561623293695/?type=3,2017-07-24 21:58:15,99,5,3,94,5,0,0,0,0
