General_2016-11-08,Runoff_2016-05-24,Primary_2016-03-01,Runoff_2015-12-12,General_2014-11-04,Runoff_2014-08-05,Runoff_2014-05-27,Primary_2014-03-04,Runoff_2013-12-14,Runoff_2013-03-02,General_2012-11-06,Runoff_2012-07-31,Primary_2012-05-29,Runoff_2011-12-10,General_2010-11-02,Primary_2010-03-02,Residence_Families_HHCount,Residence_HHGender_Description,Residence_HHParties_Description,Voters_Gender,Voters_Age,EthnicGroups_EthnicGroup1Desc,Religions_Description,MaritalStatus_Description,EstimatedIncome,Education,ReligiousContributorInHome,PoliticalContributerInHome,DonatesEnvironmentCauseInHome,DonatesToCharityInHome,Donates to Local Community,State_Senate_District,Local_Municipal_Sum,Times_Voted,Parties_Description,GetOut,preference
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,3,Mixed Gender Household,Democratic,F,64,Likely African-American,Protestant,Married,"50,000 - 100,000",Bachelors,1,0,Unknown,Yes,Yes,s13,0,4,Democratic,N,Y
Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,2,Female Only Household,Democratic,F,31,Likely African-American,Unknown,Unknown,"<50,000",Bachelors,0,0,Unknown,Yes,Unknown,s13,0,6,Democratic,Y,N
Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,2,Mixed Gender Household,Democratic,F,72,Likely African-American,Protestant,Unknown,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s13,2,14,Democratic,N,N
Y,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,1,Female Only Household,Democratic,F,57,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,5,Democratic,N,N
Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,44,Likely African-American,Protestant,Married,"<50,000",Bachelors,0,0,Unknown,Unknown,Unknown,s13,0,6,Democratic,N,Y
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,F,56,Hispanic and Portuguese,Unknown,Non-Traditional,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,3,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Democratic,M,70,Likely African-American,Protestant,Married,"<50,000",Some_College,0,1,Unknown,Yes,Yes,s13,0,8,Democratic,N,Y
Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Democratic,F,70,Likely African-American,Protestant,Married,"50,000 - 100,000",Graduate,0,0,Unknown,Yes,Unknown,s13,6,19,Democratic,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,2,Female Only Household,Democratic,F,71,Likely African-American,Unknown,Unknown,"50,000 - 100,000",Bachelors,0,0,Unknown,Unknown,Unknown,s13,0,9,Democratic,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Democratic,F,61,Likely African-American,Protestant,Unknown,"50,000 - 100,000",Graduate,1,0,Unknown,Yes,Yes,s13,0,7,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,1,Female Only Household,Republican,F,59,Likely African-American,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,7,Republican,N,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Female Only Household,Democratic,F,40,Hispanic and Portuguese,Unknown,Unknown,"<50,000",Some_College,0,0,Unknown,Yes,Unknown,s13,0,1,Democratic,N,N
Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,M,57,Likely African-American,Protestant,Unknown,"<50,000",HighSchool,0,0,Unknown,Unknown,Unknown,s13,0,3,Democratic,N,Y
Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,4+,Mixed Gender Household,Democratic,M,62,Likely African-American,Protestant,Married,"100,00 - 150,000",Some_College,0,0,Unknown,Yes,Unknown,s13,2,13,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,Mixed Gender Household,Democratic,F,51,Likely African-American,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,1,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Republican,M,51,European,Protestant,Married,">200,000",Graduate,1,0,Unknown,Unknown,Unknown,s6,0,14,Republican,Y,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Male Only Household,Independent,M,66,Hispanic and Portuguese,Catholic,Unknown,"100,00 - 150,000",Bachelors,0,1,Unknown,Yes,Unknown,s6,0,1,Non-Partisan,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Independent,M,35,,Unknown,Non-Traditional,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,1,Non-Partisan,N,Y
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,1,Male Only Household,Democratic,M,52,Other,Catholic,Unknown,"<50,000",Bachelors,0,0,Unknown,Unknown,Unknown,s6,0,5,Democratic,N,Y
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,1,Male Only Household,Democratic,M,60,Hispanic and Portuguese,Catholic,Unknown,"150,000 - 200,000",Some_College,0,0,Unknown,Unknown,Unknown,s6,0,5,Democratic,N,N
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Republican,F,41,European,Jewish,Married,"150,000 - 200,000",Graduate,0,0,Unknown,Unknown,Unknown,s6,0,4,Republican,N,N
Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Republican,M,40,European,Protestant,Non-Traditional,"50,000 - 100,000",Graduate,0,1,Unknown,Yes,Unknown,s6,0,3,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,Male Only Household,Democratic,M,68,European,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,14,Democratic,Y,Y
Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,43,European,Unknown,Unknown,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,5,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,1,Male Only Household,Democratic,M,64,European,Protestant,Unknown,"50,000 - 100,000",HighSchool,0,0,Unknown,Unknown,Unknown,s6,0,7,Democratic,Y,Y
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,70,,Jewish,Unknown,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,4,Democratic,N,N
Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,3,Mixed Gender Household,Democratic,F,55,European,Jewish,Married,"100,00 - 150,000",HighSchool,0,1,Unknown,Yes,Unknown,s6,0,7,Democratic,N,Y
Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Republican,F,61,European,Unknown,Married,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Yes,s15,0,2,Republican,N,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,2,Mixed Gender Household,Democratic & Republican,M,63,European,Unknown,Married,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Yes,s15,0,11,Republican,N,N
Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Republican,M,69,European,Protestant,Unknown,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,4,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2,Mixed Gender Household,Republican,M,64,European,Unknown,Married,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,2,Republican,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Democratic & Republican,M,76,European,Protestant,Married,"100,00 - 150,000",Bachelors,0,0,Unknown,Unknown,Yes,s15,0,10,Republican,N,N
